-27.755458,26.664608,14.1,27.2
-27.01149,29.86325,13.3,20.9
-27.467477,27.263627,14.1,26.4
-25.69508,30.04214,13,26.2
-26.45272,29.46317,13.9,26
-29.163374,26.227589,10.1,24.4
-27.39035,26.626256,14.5,27.8
-28.696402,26.478599,8.5,26.2
-26.50611,27.61722,14.9,27.1
-26.07462,30.12354,10.7,23.2
-26.937521,27.013913,12.4,27.2
-26.974051,27.766912,13.4,26.1
-29.149373,25.807577,8.2,26.4
-26.14914,28.68932,17,28.6
-28.16914,30.25097,10.6,15.3
-26.612082,27.396884,19.1,26.2
-26.51963,29.98971,10.8,22.8
-26.816429,26.302928,12.5,28.4
-26.849488,26.664896,14.7,28.6
-27.1325,27.8991,15.4,24.4
-27.316603,27.03119,13.5,26.6
-28.26942,29.12275,9.6,19.5
-26.773517,26.426604,15.6,27.4
-27.770665,24.79301,10.7,28.9
-26.50196,28.35837,17.6,27.6
-27.291489,27.965649,14.6,25
-27.454478,27.418632,13.7,26.3
-27.464479,28.04065,12,23.1
-27.83463,25.90038,6.4,26.4
-27.493304,26.44895,12.2,27.8
-26.908533,25.254446,13.4,28
-26.933158,27.61115,13.2,26.1
-27.240492,27.558637,14,25.2
-27.669465,27.214625,16.4,29.5
-27.664436,24.785686,10.5,27.4
-26.343871,26.624136,15.2,28.2
-28.66517,27.43006,13.6,25.2
-26.791515,26.127595,14.1,27.3
-25.77164,29.46442,16.2,29.2
-27.248602,26.689758,12.2,28.5
-27.791459,27.985648,10.6,24.5
-26.338547,27.391634,17.3,26.3
-27.860452,26.700609,13.7,27.4
-26.05128,29.05125,15.7,28.9
-27.859035,26.35822,11.6,28.8
-29.107374,25.412565,9.9,25.1
-26.720522,27.073624,17.4,27.7
-28.173431,26.214593,11.7,27.6
-27.077027,26.522388,13.1,27.8
-27.60599518,26.53858757,10.9,28.8
-27.297488,27.525635,14.8,26.4
-27.655491,26.483095,10.6,28.5
-27.615466,26.599606,11.8,28.2
-27.19347,25.32267,13.8,27.1
-28.32322,27.62064,13.5,26.4
-26.95164,29.23682,14.4,25.5
-27.93445,27.578635,12.2,27
-28.401419,26.718607,11.6,26.7
-28.009441,26.291596,11.4,28.1
-26.796359,28.931891,14.4,26.4
-29.022382,26.299592,9.4,25.2
-26.334546,26.832618,15.2,27.5
-27.081499,26.739612,13.3,28
-27.200492,26.915617,14,27.7
-27.669489,26.442251,9.3,30.2
-26.989465,27.372444,14.6,26.3
-27.76502,30.79263,11.8,17
-26.982458,27.649671,14.5,24.7
-26.761518,26.251599,14.4,27.7
-27.841452,26.363598,12.7,28.9
-28.095436,26.267595,9.1,27.5
-28.80972,29.53164,11.6,16.2
-25.863928,29.223021,15.8,28.7
-27.19258,25.96722,14.1,28.3
